time , r , theta , vr , vtheta , ar  , atheta
164.40083,2.0,53.433342,0.0,0.35363498,-0.0,-6.440282E-6
164.50084,2.0,53.468704,0.0,0.35361907,-0.0,-8.159876E-6
164.60085,2.0,53.504066,0.0,0.3536106,-0.0,-6.568432E-6
164.70085,2.0,53.53943,0.0,0.3536101,-0.0,-5.722046E-6
164.80086,2.0,53.57479,0.0,0.35361454,-0.0,-5.671382E-6
164.90086,2.0,53.610153,0.0,0.35362217,-0.0,-6.1154365E-6
165.00087,2.0,53.645515,0.0,0.35362545,-0.0,-6.878376E-6
165.10088,2.0,53.680878,0.0,0.35362712,-0.0,-7.2062016E-6
165.20088,2.0,53.71624,0.0,0.35362515,-0.0,-7.373095E-6
165.30089,2.0,53.7516,0.0,0.35359362,-0.0,-7.1763993E-6
165.4009,2.0,53.78696,0.0,0.35362065,-0.0,-4.0233135E-6
165.5009,2.0,53.822323,0.0,0.35362312,-0.0,-6.726384E-6
165.6009,2.0,53.857685,0.0,0.35362706,-0.0,-6.9737434E-6
165.70091,2.0,53.893047,0.0,0.3536317,-0.0,-7.367134E-6
165.80092,2.0,53.92841,0.0,0.35363066,-0.0,-7.832051E-6
165.90092,2.0,53.96377,0.0,0.35360557,-0.0,-7.727743E-6
166.00093,2.0,53.99913,0.0,0.35359517,-0.0,-5.218387E-6
166.10094,2.0,54.03449,0.0,0.3535879,-0.0,-4.1782855E-6
166.20094,2.0,54.069847,0.0,0.3535865,-0.0,-3.451109E-6
166.30095,2.0,54.105206,0.0,0.35359156,-0.0,-3.311038E-6
166.40096,2.0,54.140564,0.0,0.3535895,-0.0,-3.8176777E-6
166.50096,2.0,54.175922,0.0,0.35359076,-0.0,-3.6120416E-6
166.60097,2.0,54.21128,0.0,0.35359612,-0.0,-3.7372113E-6
166.70097,2.0,54.24664,0.0,0.35359988,-0.0,-4.2736533E-6
166.80098,2.0,54.282,0.0,0.35361537,-0.0,-4.6491623E-6
166.90099,2.0,54.317364,0.0,0.3536156,-0.0,-6.198883E-6
167.00099,2.0,54.352726,0.0,0.35362664,-0.0,-6.222725E-6
167.101,2.0,54.38809,0.0,0.3536296,-0.0,-7.325411E-6
167.201,2.0,54.42345,0.0,0.3536398,-0.0,-7.6204537E-6
167.30101,2.0,54.458817,0.0,0.35364935,-0.0,-8.6426735E-6
167.40102,2.0,54.49418,0.0,0.35363114,-0.0,-9.596348E-6
167.50102,2.0,54.52954,0.0,0.35363242,-0.0,-7.775426E-6
167.60103,2.0,54.564903,0.0,0.35363063,-0.0,-7.903576E-6
167.70103,2.0,54.600266,0.0,0.35361597,-0.0,-7.724762E-6
167.80104,2.0,54.635628,0.0,0.35362747,-0.0,-6.2584877E-6
167.90105,2.0,54.67099,0.0,0.35364023,-0.0,-7.4088575E-6
168.00105,2.0,54.706352,0.0,0.35362807,-0.0,-8.684397E-6
168.10106,2.0,54.741714,0.0,0.35362825,-0.0,-7.468462E-6
168.20107,2.0,54.777077,0.0,0.35363635,-0.0,-7.4863433E-6
168.30107,2.0,54.81244,0.0,0.35363558,-0.0,-8.296966E-6
168.40108,2.0,54.8478,0.0,0.3536393,-0.0,-8.219481E-6
168.50108,2.0,54.883163,0.0,0.35360834,-0.0,-8.59201E-6
168.60109,2.0,54.918526,0.0,0.35360432,-0.0,-5.4955485E-6
168.7011,2.0,54.953884,0.0,0.3535999,-0.0,-5.093217E-6
168.8011,2.0,54.989246,0.0,0.3536168,-0.0,-4.6521427E-6
168.90111,2.0,55.02461,0.0,0.35362515,-0.0,-6.3419343E-6
169.00111,2.0,55.059967,0.0,0.3536029,-0.0,-7.1763993E-6
169.10112,2.0,55.09533,0.0,0.35361198,-0.0,-4.950166E-6
169.20113,2.0,55.13069,0.0,0.35361364,-0.0,-5.8591368E-6
169.30113,2.0,55.166054,0.0,0.35361516,-0.0,-6.0260295E-6
169.40114,2.0,55.201416,0.0,0.35362646,-0.0,-6.1780215E-6
169.50114,2.0,55.23678,0.0,0.3536348,-0.0,-7.3075294E-6
169.60115,2.0,55.27214,0.0,0.35363013,-0.0,-8.141995E-6
169.70116,2.0,55.307503,0.0,0.3536246,-0.0,-7.674098E-6
169.80116,2.0,55.342865,0.0,0.35361478,-0.0,-7.122755E-6
169.90117,2.0,55.378227,0.0,0.35360986,-0.0,-6.1392784E-6
170.00117,2.0,55.413586,0.0,0.35360152,-0.0,-5.64754E-6
170.10118,2.0,55.448948,0.0,0.35360956,-0.0,-4.813075E-6
170.20119,2.0,55.48431,0.0,0.35362166,-0.0,-5.6177378E-6
170.3012,2.0,55.519672,0.0,0.35361928,-0.0,-6.8277122E-6
170.4012,2.0,55.555035,0.0,0.35363477,-0.0,-6.5892937E-6
170.5012,2.0,55.590397,0.0,0.35362408,-0.0,-8.139014E-6
170.60121,2.0,55.62576,0.0,0.3536115,-0.0,-7.069111E-6
170.70122,2.0,55.66112,0.0,0.35360718,-0.0,-5.811453E-6
170.80122,2.0,55.69648,0.0,0.353583,-0.0,-5.379319E-6
170.90123,2.0,55.73184,0.0,0.35357413,-0.0,-2.962351E-6
171.00124,2.0,55.767197,0.0,0.35359055,-0.0,-2.0742416E-6
171.10124,2.0,55.802555,0.0,0.35359797,-0.0,-3.7163497E-6
171.20125,2.0,55.837914,0.0,0.35359257,-0.0,-4.4584276E-6
171.30125,2.0,55.873272,0.0,0.35359517,-0.0,-3.9190054E-6
171.40126,2.0,55.908634,0.0,0.35360742,-0.0,-4.1782855E-6
171.50127,2.0,55.943996,0.0,0.35360932,-0.0,-5.403161E-6
171.60127,2.0,55.979355,0.0,0.35359597,-0.0,-5.593896E-6
171.70128,2.0,56.014713,0.0,0.35359213,-0.0,-4.258752E-6
171.80128,2.0,56.05007,0.0,0.353592,-0.0,-3.874302E-6
171.90129,2.0,56.08543,0.0,0.35359374,-0.0,-3.862381E-6
172.0013,2.0,56.12079,0.0,0.3535989,-0.0,-4.0352347E-6
172.1013,2.0,56.156147,0.0,0.3536006,-0.0,-4.5508145E-6
172.20131,2.0,56.19151,0.0,0.35360977,-0.0,-4.720688E-6
172.30132,2.0,56.226868,0.0,0.35358593,-0.0,-5.6385993E-6
172.40132,2.0,56.262226,0.0,0.35359767,-0.0,-3.2544137E-6
172.50133,2.0,56.297585,0.0,0.3535937,-0.0,-4.4286253E-6
172.60133,2.0,56.332943,0.0,0.35360262,-0.0,-4.0322543E-6
172.70134,2.0,56.3683,0.0,0.3536,-0.0,-4.9233436E-6
172.80135,2.0,56.40366,0.0,0.353597,-0.0,-4.6610835E-6
172.90135,2.0,56.439022,0.0,0.35360363,-0.0,-4.36008E-6
173.00136,2.0,56.474384,0.0,0.35360676,-0.0,-5.0246717E-6
173.10136,2.0,56.509747,0.0,0.35361853,-0.0,-5.337596E-6
173.20137,2.0,56.54511,0.0,0.3536298,-0.0,-6.514788E-6
173.30138,2.0,56.58047,0.0,0.35363597,-0.0,-7.641315E-6
173.40138,2.0,56.615833,0.0,0.35363656,-0.0,-8.258224E-6
173.50139,2.0,56.651196,0.0,0.35363826,-0.0,-8.317828E-6
173.6014,2.0,56.68656,0.0,0.3536439,-0.0,-8.487702E-6
173.7014,2.0,56.721928,0.0,0.3536447,-0.0,-9.050966E-6
173.8014,2.0,56.757294,0.0,0.35365286,-0.0,-9.131431E-6
173.90141,2.0,56.79266,0.0,0.3536607,-0.0,-9.948016E-6
174.00142,2.0,56.828026,0.0,0.35367554,-0.0,-1.07318165E-5
174.10143,2.0,56.863396,0.0,0.35368612,-0.0,-1.2215972E-5
174.20143,2.0,56.898766,0.0,0.35368863,-0.0,-1.3273954E-5
174.30144,2.0,56.934135,0.0,0.3536849,-0.0,-1.3524294E-5
174.40144,2.0,56.9695,0.0,0.3536654,-0.0,-1.3151765E-5
174.50145,2.0,57.004868,0.0,0.35366723,-0.0,-1.1202693E-5
174.60146,2.0,57.040234,0.0,0.35366723,-0.0,-1.1384487E-5
174.70146,2.0,57.0756,0.0,0.35366365,-0.0,-1.1384487E-5
174.80147,2.0,57.110966,0.0,0.35367423,-0.0,-1.1026859E-5
174.90147,2.0,57.14633,0.0,0.35367468,-0.0,-1.2084842E-5
175.00148,2.0,57.181698,0.0,0.35367358,-0.0,-1.2129545E-5
175.10149,2.0,57.217064,0.0,0.35367712,-0.0,-1.2019277E-5
175.20149,2.0,57.25243,0.0,0.35366836,-0.0,-1.2373925E-5
175.3015,2.0,57.2878,0.0,0.35369024,-0.0,-1.14977365E-5
175.4015,2.0,57.32317,0.0,0.3536854,-0.0,-1.3685227E-5
175.50151,2.0,57.35854,0.0,0.35368586,-0.0,-1.3202429E-5
175.60152,2.0,57.393906,0.0,0.35367802,-0.0,-1.3247132E-5
175.70152,2.0,57.42927,0.0,0.3536741,-0.0,-1.2463332E-5
175.80153,2.0,57.464638,0.0,0.35367727,-0.0,-1.2072921E-5
175.90154,2.0,57.500004,0.0,0.35367575,-0.0,-1.2388826E-5
176.00154,2.0,57.53537,0.0,0.3536795,-0.0,-1.2236834E-5
176.10155,2.0,57.570736,0.0,0.35367468,-0.0,-1.2612343E-5
176.20155,2.0,57.606106,0.0,0.35368025,-0.0,-1.2129545E-5
176.30156,2.0,57.64147,0.0,0.35367945,-0.0,-1.2686849E-5
176.40157,2.0,57.676838,0.0,0.35367745,-0.0,-1.2606382E-5
176.50157,2.0,57.712204,0.0,0.3536673,-0.0,-1.2406707E-5
176.60158,2.0,57.74757,0.0,0.3536642,-0.0,-1.1390448E-5
